id,module,lessonId,questionNumber,type,questionText,optionA,optionB,optionC,optionD,correctAnswers,tags
DRIVER-001,driver-licensing,compliance-and-authorities,1,single,When can compliance officers approach SPSV operators?,At any stage,Only at the end of a shift,Whenever they aren't working,While they are working,3,compliance-and-authorities
DRIVER-002,driver-licensing,application-process,2,single,Where do you submit your PSV 15 application form?,Post it to the NTA (National Transport Authority),Submit into the Garda station nearest to your residence (if you live outside Dublin)/Submit it to the Carriage Office (If you live in Dublin),Submit it to the Department of Transport,Submit to Service Operator,1,application-process
DRIVER-003,driver-licensing,compliance-and-authorities,3,single,Who is responsible for issuing a Driver's SPSV licence?,NDLS,RSA,NTA,An Garda Síochána,3,compliance-and-authorities
DRIVER-004,driver-licensing,driver-identification,4,single,What gives information on the taxi area that is serviced by you?,Driver's ID card,mytaxi referral card,Taxi plate,Tamper proof disc,0,driver-identification
DRIVER-005,driver-licensing,vehicle-and-licence-types,5,single,"If you want to pick up on the street, what licence must you apply for?",Chauffeur license,Hackney license,Taxi and Wheelchair Taxi license,Wheelchair Taxi license,2,vehicle-and-licence-types
DRIVER-006,driver-licensing,application-process,6,single,Where do you go when you pass your SPSV test?,Local Garda Station,mytaxi Office,The NTA,The NDLS,0,application-process
DRIVER-007,driver-licensing,driver-identification,7,single,What does a purple identification card represent?,That the driver can ply for hire in more than one county,That the driver has a limousine vehicle licence,That the driver has passed the SPSV Driver Entry Test,That the driver is a local area hackney driver,2,driver-identification
DRIVER-008,driver-licensing,compliance-and-authorities,8,single,What licensing body issues the licenses for two-way radios?,An Garda Síochána,The Commission for Communications Regulation (ComReg),The Commission for Taxi Regulation,The NTA (National Transport Authority),1,compliance-and-authorities
DRIVER-009,driver-licensing,driver-identification,9,single,What does a green identification card represent?,That the driver can ply for hire in more than one county,That the driver has a limousine vehicle licence,That the driver is a wheelchair taxi driver,That the driver is licenced for a Local Area Hackney,3,driver-identification
DRIVER-010,driver-licensing,application-process,10,single,How long is a conditional licence valid for?,120 days,90 days,60 days,30 days,1,application-process
DRIVER-011,driver-licensing,licence-validity-renewal,11,single,A local area hackney license is valid for how many years?,10 years,3 years,5 years,7 years,1,licence-validity-renewal
DRIVER-012,driver-licensing,licence-validity-renewal,12,single,Can a SPSV licence be transferred to another person?,No a license can never be transferred,"No, only after the death of the current owner","Yes, but only limo licenses","Yes, but only local area hackney licenses",1,licence-validity-renewal
DRIVER-013,driver-licensing,application-process,13,single,What document must you fill out and submit when applying for a brand new SPSV driver licence?,Basic Technical Assesor Report,P45 from your previous employer,PSV 15/18 Application Form,VL1,2,application-process
DRIVER-014,driver-licensing,bus-lanes-and-pickups,14,single,What SPSV vehicle is permitted to use contra flow bus lanes?,Limos,None,Taxis,Wheelchair taxis,1,bus-lanes-and-pickups
DRIVER-015,driver-licensing,bus-lanes-and-pickups,15,single,Where can a local area hackney pick up?,From a booking address,From a hotel,From a rank,From the road,0,bus-lanes-and-pickups
DRIVER-016,driver-licensing,application-process,16,single,Who do you apply to for your SPSV Driver License?,An Garda Síochána,Local authority,NTA,RSA,0,application-process
DRIVER-017,driver-licensing,vehicle-and-licence-types,17,multiple,Which of the following SPSV operators would agree the fare with the passenger in advance? (select multiple answers),Chauffeur,Local area hackney,Taxi,Wheelchair Accessible Vehicles,"0,1",vehicle-and-licence-types
DRIVER-018,driver-licensing,application-process,18,single,May a driver operate on a conditional offer licence?,No.,"Yes, during peak times.","Yes, during the hours of 8am and 10pm",Yes.,0,application-process
DRIVER-019,driver-licensing,vehicle-and-licence-types,19,single,What type of SPSV should be used for state events?,Limousine,Taxi,Wheelchair accessible hackney,Wheelchair accessible taxi,0,vehicle-and-licence-types
DRIVER-020,driver-licensing,penalties-and-offences,20,single,What is the maximum penalty for operating an SPSV without a valid SPSV driver's license?,"€1,000","€10,000","€2,500","€5,000",3,penalties-and-offences
DRIVER-021,driver-licensing,licence-validity-renewal,21,single,What should you do with an expired license?,Keep it safe,Return to NTA (National Transport Authority),Return to the Gardai,Shred it,1,licence-validity-renewal
DRIVER-022,driver-licensing,driver-identification,22,single,What does a yellow identification card represent?,That the driver can ply for hire in more than one county,That the driver has a limousine vehicle licence,That the driver has a valid SPSV licence but it was issued prior to the introduction of the Skills Development Programme,That the driver is a local area hackney driver,2,driver-identification
DRIVER-023,driver-licensing,licence-validity-renewal,23,single,How many weeks prior to the expiry date are drivers advised to renew their SPSV driver licences?,10 weeks,6 weeks,8 weeks,12 weeks,3,licence-validity-renewal
DRIVER-024,driver-licensing,licence-validity-renewal,24,single,"If your SPSV driver licence is issued on May 21st 2018, when will it expire?",21st May 2019,21st May 2020,21st May 2021,21st May 2023,3,licence-validity-renewal
DRIVER-025,driver-licensing,driver-identification,25,single,The Area Sticker showing the county that the driver is licensed to stand or ply for hire is displayed where?,Back Window,Front Window,Taxi Roof sign,Vehicle Side Door,1,driver-identification
DRIVER-026,driver-licensing,bus-lanes-and-pickups,26,single,What SPSV vehicle is permitted to use bus lanes?,Hackneys,Limos,Taxis and wheelchair taxis,Wheelchair hackneys,2,bus-lanes-and-pickups
DRIVER-027,driver-licensing,application-process,27,single,What size of photos and how many do you need for apply for SPSV driver licence?,W:7cm H:10cm - 3 photos,W:4cm H:6cm - 5 photos,W:8cm H:6cm - 2 photos,W:10cm H:8cm - 1 photo,0,application-process
DRIVER-028,driver-licensing,compliance-and-authorities,28,single,Who is responsible for your SPSV license?,An Garda Síochána and the RSA (Road Safety Authority),The Local County Council and the RSA (Road Safety Authority),The NTA (National Transport Authority) and An Garda Síochána,The NTA (National Transport Authority) and the RSA (Road Safety Authority),2,compliance-and-authorities
DRIVER-029,driver-licensing,licence-validity-renewal,29,single,"If a driver loses their smart card, what should they do?",Nothing,Report the lost card directly to the NTA,Report the lost card to the RSA,Report the lost card to their nearest Garda PSV Office,3,licence-validity-renewal
DRIVER-030,driver-licensing,penalties-and-offences,30,single,What is the maximum fine for displaying forged driver identification on an SPSV?,"€1,000","€2,500",€250,€500,2,penalties-and-offences
