id,module,lessonId,questionNumber,type,questionText,optionA,optionB,optionC,optionD,correctAnswers,tags
FARES-001,fares,standard-premium-special-rates,1,single,The charge per kilometre on Tariff B Premium Rate of the National Maximum Taxi Fare is:,€1.45,€1.75,€1.90,€2.20,3,"fares,premium-rate,tariff-b"
FARES-002,fares,fare-basics,2,single,How much VAT does a customer pay on a fare?,0%,12.50%,20%,5%,0,"fares,vat"
FARES-003,fares,taximeter-rules,3,single,"If a fare is pre-booked, when are you allowed turn on the meter?",The meter can start at the agreed time of the pre-book,When the customer gets in the car,When you arrive at the pick-up address,You don't need to turn on the meter because it is a pre-book,0,"taximeter,pre-booking"
FARES-004,fares,extra-charges,4,single,What is the approved fee that can be charged for payment by credit/debit card?,10%,2.50%,5.00%,No charge can be applied,3,"card-payment,extra-charges"
FARES-005,fares,tariff-a-tariff-b,5,single,What does the initial charge cover on a taxi fare?,Up to 0.1 km or 90 seconds,Up to 0.3 km or 30 seconds,Up to 0.5 km or 85 seconds,Up to 1 km or 60 seconds,2,"initial-charge,tariffs"
FARES-006,fares,customer-service-driver-rights,6,single,What are the benefits of pre-booking a hackney in advance?,There is no benefit to pre-booking a taxi in advance,You can agree the fare but not the route,You can agree the route and the fare in advance,You can agree the route but not the fare,2,"hackney,pre-booking"
FARES-007,fares,customer-service-driver-rights,7,single,If a customer runs away at the end of a journey what should you do?,Chase after them,Do not chase them,Threaten them,,1,"safety,customer-service"
FARES-008,fares,time-vs-distance-charging,8,single,When travelling at 15 km/h is the fare calculated in metres or time?,Metres,Time,,,1,"time,distance,speed"
FARES-009,fares,standard-premium-special-rates,9,single,What is the initial starting tariff on Christmas Eve before 20:00 if Christmas Eve is a Wednesday?,€5.40 + €1.81 per km thereafter,€4.80 + €1.45 per km thereafter,€4.40 + €1.32 per km thereafter,€4.20 + €1.80 per km thereafter,2,"standard-rate,christmas-eve"
FARES-010,fares,fixed-payment-offences,10,single,"Fixed Payment Offence ""Failure to comply with the requirements in relation to the calibration of taximeters"" carries a penalty of:",€250,€40,€60,€80,0,"offences,taximeter"
FARES-011,fares,extra-charges,11,single,What is a driver NOT allowed charge additional for?,Booking fee,Destruction charge,Luggage,Soiling charge,2,"extra-charges,luggage"
FARES-012,fares,taximeter-rules,12,single,When can a driver start the meter when parked at a rank?,When the driver has agreed to take the passenger,When the driver is told where the fare is going,When the passenger fastens their seatbelt,When the passenger flags down the taxi,0,"taximeter,rank"
FARES-013,fares,fixed-payment-offences,13,single,"Fixed Payment Offence ""Failure to operate taximeter while taxi is on hire"" carries a penalty of:",€120,€40,€150,€80,2,"offences,taximeter"
FARES-014,fares,taximeter-rules,14,single,Is it possible to move a meter from one vehicle to another?,"No, a meter can never be moved","Yes, a meter can be moved as long as you inform the NTA (National Transport Authority)","Yes, as long as it's moved in a safe manner","Yes, but the meter must be recalibrated and refitted",3,"taximeter,calibration"
FARES-015,fares,standard-premium-special-rates,15,single,The charge per kilometre on Tariff B Special Rate of the National Maximum Taxi Fare is:,€1.35,€1.57,€1.95,€2.20,3,"special-rate,tariff-b"
FARES-016,fares,standard-premium-special-rates,16,single,The charge per kilometre on Tariff A Premium Rate of the National Maximum Taxi Fare is:,€1.35,€1.81,€1.57,€1.75,1,"premium-rate,tariff-a"
FARES-017,fares,time-vs-distance-charging,17,single,"It is after 8pm on a busy Saturday night and you are travelling 14.5 km/h, how much do you charge after the initial charge?",€0.40 per minute,€0.53 per minute,€0.64 per minute,€0.60 per minute,2,"time,premium-rate"
FARES-018,fares,extra-charges,18,single,What is the additional charge for 2 or 3 children under 12 years of age?,No additional charge,€1,€2,€3,1,"children,extra-charges"
